"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","epochs","max_vocab_length","loss_function","optimizer","best_epoch","dense_units","dropout_rate","embed_dim","learning_rate","best_val_loss","f1","accuracy","precision","recall","loss","val_loss","val_accuracy","val_precision","val_recall"
"grateful-sweep-85","finished","-","jacobh0830","","2021-07-12T10:58:22.000Z","643","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","200","0.0001","0.5132066011428833","0.7807922135964114","0.7500707720761697","0.7568998716302953","0.8062420948278809","0.5218029618263245","0.5132066011428833","0.7407583594322205","0.7278264760971069","0.8464063405990601"
"whole-sweep-150","finished","-","jacobh0830","","2021-07-13T00:48:40.000Z","507","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.4","300","0.0001","0.5009268522262573","0.7792339562019108","0.7536188121614735","0.7710327287330165","0.7876115270228694","0.5094915628433228","0.5009268522262573","0.7489519715309143","0.7611396312713623","0.7938839197158813"
"ethereal-sweep-185","finished","-","jacobh0830","","2021-07-13T05:37:45.000Z","476","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.2","100","0.0001","0.5231107473373413","0.7788672429363953","0.741219544416555","0.7372309571057853","0.825487984138379","0.5291648507118225","0.5231107473373413","0.7368521094322205","0.7318418622016907","0.82515549659729"
"visionary-sweep-5","finished","-","jacobh0830","","2021-07-11T20:50:47.000Z","572","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.2","100","0.0001","0.5213869214057922","0.7787176423735562","0.7378413573140583","0.7291331066165503","0.8355382353946603","0.536024808883667","0.5213869214057922","0.7331364154815674","0.752493679523468","0.7690048217773438"
"rare-sweep-20","finished","-","jacobh0830","","2021-07-11T23:24:49.000Z","591","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.4","100","0.0001","0.5250024199485779","0.7785704977847276","0.7434465057466926","0.7436136780858147","0.8169760366458141","0.5474421977996826","0.5250024199485779","0.7338986396789551","0.7437734007835388","0.789391815662384"
"fiery-sweep-70","finished","-","jacobh0830","","2021-07-12T08:18:57.000Z","659","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.2","200","0.0001","0.5125954747200012","0.7784630771795299","0.7491837620548436","0.759670755115984","0.7982087307284723","0.5151302814483643","0.528505265712738","0.7254192233085632","0.7982348203659058","0.671907365322113"
"worldly-sweep-50","finished","-","jacobh0830","","2021-07-12T04:42:53.000Z","631","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.8","100","0.0001","0.564150333404541","0.7782598216437695","0.7221960103421594","0.6956990116075517","0.8830547294294602","0.6178796291351318","0.564150333404541","0.7173208594322205","0.7338749766349792","0.7646855711936951"
"amber-sweep-145","finished","-","jacobh0830","","2021-07-13T00:04:51.000Z","495","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.4","200","0.0001","0.5126631855964661","0.7777703088764159","0.750429350595429","0.7649158761114601","0.791064164359211","0.5171660780906677","0.5126631855964661","0.7435213327407837","0.735401451587677","0.8355217576026917"
"devoted-sweep-100","finished","-","jacobh0830","","2021-07-12T18:02:22.000Z","469","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.6","200","0.0001","0.5106939673423767","0.7772637366321365","0.7492215071621341","0.7625390560763032","0.792568283594845","0.5282266139984131","0.5106939673423767","0.7403773069381714","0.7582195401191711","0.77695232629776"
"autumn-sweep-45","finished","-","jacobh0830","","2021-07-12T03:50:08.000Z","663","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.6","300","0.0001","0.511655330657959","0.7772454281665431","0.7508068016683338","0.7672784198780934","0.7874747889105391","0.5587836503982544","0.5186936259269714","0.7328506112098694","0.7773234248161316","0.7225293517112732"
