"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","dropout_rate","embed_dim","epochs","learning_rate","loss_function","max_vocab_length","optimizer","accuracy","best_epoch","best_val_loss","epoch","f1","loss","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"denim-sweep-30","finished","-","jacobh0830","","2021-07-10T22:06:03.000Z","680","ixsr953s","LSTM","128","0.8","128","3","0.0001389495494373139","binary_crossentropy","20000","adam","76.99404256389933","2","0.4887832999229431","2","0.7669011885987979","0.484975129365921","0.7721807625948253","0.7699404256389932","0.750756025314331","0.4887832999229431","0.7413548827171326","0.8398625254631042"
"icy-sweep-31","finished","-","jacobh0830","","2021-07-10T22:17:24.000Z","683","ixsr953s","LSTM","128","0.8","128","3","0.00003727593720314938","binary_crossentropy","20000","adam","76.12737296150208","2","0.49934470653533936","2","0.7584211101419287","0.5009455680847168","0.7626774504907146","0.7612737296150208","0.7505040168762207","0.49934470653533936","0.7432184219360352","0.8348224759101868"
"jolly-sweep-7","finished","-","jacobh0830","","2021-07-10T17:44:44.000Z","679","ixsr953s","LSTM","128","0.2","128","3","0.00003727593720314938","binary_crossentropy","20000","adam","76.32050209380498","2","0.496069997549057","2","0.7610269417449558","0.4914737343788147","0.7637003895713399","0.7632050209380498","0.7502520084381104","0.496069997549057","0.7478677034378052","0.8235967755317688"
"morning-sweep-23","finished","-","jacobh0830","","2021-07-10T20:46:10.000Z","674","ixsr953s","LSTM","128","0.6","128","3","0.00003727593720314938","binary_crossentropy","20000","adam","76.15033456843712","2","0.49871376156806946","2","0.7584487403278205","0.49570232629776","0.7632547172104563","0.7615033456843712","0.75","0.49871376156806946","0.7420207262039185","0.836197018623352"
"peach-sweep-15","finished","-","jacobh0830","","2021-07-10T19:15:06.000Z","682","ixsr953s","LSTM","128","0.4","128","3","0.00003727593720314938","binary_crossentropy","20000","adam","76.26398928038954","2","0.49709802865982056","2","0.7602017784731813","0.4932389259338379","0.7634737252772067","0.7626398928038953","0.7496219873428345","0.49709802865982056","0.7455596923828125","0.8270332217216492"
"dashing-sweep-11","finished","-","jacobh0830","","2021-07-10T18:29:21.000Z","664","ixsr953s","LSTM","128","0.4","128","3","0.0071968567300115215","binary_crossentropy","20000","adam","76.0272435796621","0","0.4952120184898377","2","0.7585358263390172","0.4997990131378174","0.7601652294770961","0.760272435796621","0.7482358813285828","0.5024373531341553","0.749000608921051","0.8155784606933594"
"denim-sweep-24","finished","-","jacobh0830","","2021-07-10T20:57:25.000Z","678","ixsr953s","LSTM","128","0.6","128","3","0.00001","binary_crossentropy","20000","adam","75.37425322353701","2","0.5050930976867676","2","0.7515321932101672","0.5108682513237","0.7539363048214545","0.7537425322353701","0.7479838728904724","0.5050930976867676","0.7467139363288879","0.8199312686920166"
"earnest-sweep-16","finished","-","jacobh0830","","2021-07-10T19:26:29.000Z","690","ixsr953s","LSTM","128","0.4","128","3","0.00001","binary_crossentropy","20000","adam","75.36523633679539","2","0.506351888179779","2","0.7508931389933412","0.5076677799224854","0.7545333615240088","0.7536523633679539","0.7454637289047241","0.506351888179779","0.7411063313484192","0.8256586194038391"
"feasible-sweep-19","finished","-","jacobh0830","","2021-07-10T20:00:45.000Z","683","ixsr953s","LSTM","128","0.6","128","3","0.0071968567300115215","binary_crossentropy","20000","adam","73.4593181136673","0","0.49343225359916687","2","0.7218634941393617","0.5131073594093323","0.7545510900455117","0.7345931811366729","0.7346270084381104","0.520315408706665","0.699171245098114","0.9083619713783264"
"dazzling-sweep-27","finished","-","jacobh0830","","2021-07-10T21:31:39.000Z","674","ixsr953s","LSTM","128","0.8","128","3","0.0071968567300115215","binary_crossentropy","20000","adam","74.10570307601655","1","0.5000412464141846","2","0.735886267230386","0.5393892526626587","0.7449496140976309","0.7410570307601655","0.7329888939857483","0.5298708081245422","0.7196791768074036","0.8428407907485962"
"splendid-sweep-26","finished","-","jacobh0830","","2021-07-10T21:20:11.000Z","687","ixsr953s","LSTM","128","0.8","128","3","0.02682695795279726","binary_crossentropy","20000","adam","55.292178584684294","1","0.688366711139679","2","0.3962317664651448","0.6916036605834961","0.5383444113013232","0.5529217858468429","0.5505292415618896","0.6901128888130188","0.5503914952278137","0.998396337032318"
"dazzling-sweep-2","finished","-","jacobh0830","","2021-07-10T16:48:39.000Z","670","ixsr953s","LSTM","128","0.2","128","3","0.02682695795279726","binary_crossentropy","20000","adam","55.26355521165569","2","0.6879293322563171","2","0.4353915630841847","0.6908861994743347","0.5300589614188231","0.5526355521165569","0.5497731566429138","0.6879293322563171","0.5527016520500183","0.9514318704605104"
"ancient-sweep-10","finished","-","jacobh0830","","2021-07-10T18:18:15.000Z","665","ixsr953s","LSTM","128","0.4","128","3","0.02682695795279726","binary_crossentropy","20000","adam","55.27173331823529","0","0.6898011565208435","2","0.400698893604678","0.6904897093772888","0.5268966430165278","0.5527173331823529","0.5496471524238586","0.6923853754997253","0.550286054611206","0.991523504257202"
"unique-sweep-18","finished","-","jacobh0830","","2021-07-10T19:49:23.000Z","681","ixsr953s","LSTM","128","0.6","128","3","0.02682695795279726","binary_crossentropy","20000","adam","55.27487874384283","2","0.6878786683082581","2","0.3984825090632624","0.6923505067825317","0.5269145008294186","0.5527487874384283","0.5493951439857483","0.6878786683082581","0.5499430298805237","0.9951890110969543"
"fluent-sweep-25","finished","-","jacobh0830","","2021-07-10T21:08:44.000Z","686","ixsr953s","LSTM","128","0.8","128","3","0.1","binary_crossentropy","20000","adam","55.268692740148005","0","0.6930787563323975","2","0.40218121979377014","0.7222346663475037","0.5267073704853696","0.5526869274014801","0.5487651228904724","0.6962364315986633","0.5498220920562744","0.991065263748169"
"cool-sweep-1","finished","-","jacobh0830","","2021-07-10T16:37:19.000Z","679","ixsr953s","LSTM","128","0.2","128","3","0.1","binary_crossentropy","20000","adam","55.15168290754755","0","0.6930368542671204","2","0.403117151088229","0.7055462002754211","0.5068600071716951","0.5515168290754755","0.5485131144523621","0.6949046850204468","0.5499616861343384","0.9860252141952516"
"twilight-sweep-17","finished","-","jacobh0830","","2021-07-10T19:38:00.000Z","682","ixsr953s","LSTM","128","0.6","128","3","0.1","binary_crossentropy","20000","adam","53.52256213788288","0","0.6907543540000916","2","0.4773166804008063","0.7145227193832397","0.506138377767928","0.5352256213788288","0.5389364957809448","0.6923025846481323","0.5533232688903809","0.839175283908844"
"dulcet-sweep-9","finished","-","jacobh0830","","2021-07-10T18:07:08.000Z","666","ixsr953s","LSTM","128","0.4","128","3","0.1","binary_crossentropy","20000","adam","54.29769985510072","2","0.6930616497993469","2","0.4392736041920515","0.7074808478355408","0.5003583755691905","0.5429769985510072","0.5384324789047241","0.6930616497993469","0.547911524772644","0.9195876121520996"
