"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embedding_dimension","epochs","max_vocab_length","loss_function","optimizer","learning_rate","dense_units","dropout_rate","filters","kernel_size","pool_size","best_epoch","best_val_loss","loss","f1","accuracy","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"resilient-sweep-97","finished","-","jacobh0830","","2021-07-14T00:39:49.000Z","280","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","256","3","3","8","0.47252562642097473","0.46888870000839233","0.8079982733103108","0.764961216902259","0.735868130633793","0.8958055584042662","0.7701981663703918","0.47252562642097473","0.7699072360992432","0.8318935632705688"
"icy-sweep-77","finished","-","jacobh0830","","2021-07-13T23:15:51.000Z","273","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.2","256","3","3","7","0.4731104373931885","0.4656241834163666","0.8075582912490213","0.7633947949497046","0.7328522872903549","0.8992240112125253","0.7649580836296082","0.4781882464885712","0.7894369959831238","0.7824810147285461"
"hopeful-sweep-157","finished","-","jacobh0830","","2021-07-14T05:01:17.000Z","347","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","256","3","3","8","0.47533923387527466","0.4687402546405792","0.8062751051649429","0.7688112178458867","0.7501839263117625","0.8714319898813797","0.7652438879013062","0.47533923387527466","0.7657499313354492","0.8274015188217163"
"dashing-sweep-17","finished","-","jacobh0830","","2021-07-13T19:22:24.000Z","252","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","256","3","3","7","0.4755472242832184","0.4660321772098541","0.8062526106095173","0.7723970030384811","0.7605552692995484","0.8577923631764264","0.7677210569381714","0.4788383245468139","0.7444541454315186","0.8813061714172363"
"driven-sweep-18","finished","-","jacobh0830","","2021-07-13T19:26:37.000Z","246","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","256","3","5","6","0.47988635301589966","0.4651835858821869","0.8060623760702154","0.7618849906580859","0.7323204111272483","0.8963183263255051","0.7637194991111755","0.48337697982788086","0.7390864491462708","0.8833793997764587"
"northern-sweep-37","finished","-","jacobh0830","","2021-07-13T20:36:17.000Z","258","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","256","3","3","7","0.4762097299098969","0.4690237045288086","0.8056486207220467","0.7657161190480682","0.7431905490887034","0.8795679075650361","0.7636242508888245","0.4764414429664612","0.7768290638923645","0.8016586303710938"
"fluent-sweep-118","finished","-","jacobh0830","","2021-07-14T02:10:47.000Z","283","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.6","256","3","5","6","0.4825933873653412","0.474670946598053","0.8056377294199645","0.7631683243059618","0.7365201631173539","0.889071206371996","0.7667682766914368","0.4829558730125427","0.792060136795044","0.7824810147285461"
"distinctive-sweep-177","finished","-","jacobh0830","","2021-07-14T06:29:29.000Z","299","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","256","3","3","8","0.4781329333782196","0.4736952781677246","0.8055431518977596","0.761658520014343","0.7328813179423961","0.8941988855843845","0.7654344439506531","0.4781329333782196","0.7620548605918884","0.8355217576026917"
"glowing-sweep-98","finished","-","jacobh0830","","2021-07-14T00:44:31.000Z","273","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","256","3","5","8","0.4783945679664612","0.46963292360305786","0.8054368321810182","0.7663200407647159","0.7453107278913543","0.8761152702286945","0.7641006112098694","0.4783945679664612","0.7481270432472229","0.8626468777656555"
"glad-sweep-94","finished","-","jacobh0830","","2021-07-14T00:26:39.000Z","253","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","128","3","5","8","0.4803633689880371","0.476261705160141","0.8053797961537262","0.764319550078321","0.7400968120757311","0.8832940211260384","0.7641958594322205","0.4803633689880371","0.77321457862854","0.8099516034126282"
"vital-sweep-158","finished","-","jacobh0830","","2021-07-14T05:07:05.000Z","280","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","256","3","5","8","0.4759500920772553","0.47019484639167786","0.8050292582634825","0.7673391586615584","0.7490655443388174","0.8700304242299935","0.7661013603210449","0.4759500920772553","0.771549642086029","0.8180719017982483"
"dauntless-sweep-33","finished","-","jacobh0830","","2021-07-13T20:21:05.000Z","223","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","128","3","3","8","0.48295918107032776","0.4767075479030609","0.804762706417104","0.7592428331477532","0.7285524273996896","0.8987796123474515","0.7605754733085632","0.48295918107032776","0.7383204698562622","0.8764685392379761"
"fast-sweep-153","finished","-","jacobh0830","","2021-07-14T04:42:59.000Z","264","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","128","3","3","6","0.4800852835178375","0.47701939940452576","0.8043674056283281","0.7663389133183611","0.747869777281542","0.8700987932861587","0.7597180008888245","0.48192256689071655","0.7534927129745483","0.8386316299438477"
"rural-sweep-57","finished","-","jacobh0830","","2021-07-13T21:55:39.000Z","269","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.6","256","3","3","8","0.4813612997531891","0.4741524159908294","0.8042793007928168","0.7679808254854964","0.7526593367301332","0.8635011793662188","0.7639100551605225","0.4813612997531891","0.7726523876190186","0.8102971911430359"
"different-sweep-13","finished","-","jacobh0830","","2021-07-13T19:07:41.000Z","214","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","128","3","3","8","0.47794583439826965","0.47380781173706055","0.8042739656431589","0.7673391586615584","0.7508671034298758","0.8658599118039175","0.7643864154815674","0.47794583439826965","0.76338791847229","0.8299930691719055"
"true-sweep-14","finished","-","jacobh0830","","2021-07-13T19:11:16.000Z","216","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","128","3","5","7","0.48047706484794617","0.47497737407684326","0.8041961331598012","0.7643384226319664","0.7428447276940904","0.8765938536218507","0.7602896094322205","0.4806700050830841","0.7727575898170471","0.8007947206497192"
"decent-sweep-58","finished","-","jacobh0830","","2021-07-13T22:00:09.000Z","302","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.6","256","3","5","7","0.4788277745246887","0.4760091304779053","0.8041446566436409","0.7634891577179307","0.7407076843347825","0.8794653539807883","0.7644817233085632","0.47974836826324463","0.7599561214447021","0.837422251701355"
"olive-sweep-173","finished","-","jacobh0830","","2021-07-14T06:11:04.000Z","268","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","128","3","3","8","0.4801279306411743","0.48014888167381287","0.8040949424638635","0.7641685696491592","0.7426229982914893","0.876662222678016","0.7632431387901306","0.4801279306411743","0.7580872178077698","0.8381133675575256"
"wobbly-sweep-178","finished","-","jacobh0830","","2021-07-14T06:34:29.000Z","293","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","256","3","5","8","0.4760337471961975","0.4753914177417755","0.8040229612410457","0.7661124426746183","0.7480579096045198","0.8690390729155985","0.76953125","0.4760337471961975","0.7693045735359192","0.831375241279602"
"rural-sweep-138","finished","-","jacobh0830","","2021-07-14T03:38:04.000Z","282","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.2","256","3","5","7","0.47384387254714966","0.4651835858821869","0.8040129326740206","0.7666220016230396","0.7494902934137044","0.8670905548148908","0.7662919163703918","0.47396284341812134","0.7718898057937622","0.8178991079330444"
"eager-sweep-159","finished","-","jacobh0830","","2021-07-14T05:11:46.000Z","309","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","256","5","3","7","0.47959104180336","0.470264732837677","0.8039988072631397","0.7643006775246759","0.7431961933499681","0.8756366868355382","0.7547637224197388","0.48880553245544434","0.7957305908203125","0.7470628619194031"
