"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embed_dim","epochs","learning_rate","loss_function","max_vocab_length","optimizer","best_epoch","best_val_loss","epoch","loss","dense_units","lstm_units","f1","accuracy","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"effortless-sweep-4","finished","-","jacobh0830","","2021-07-15T19:46:10.000Z","1474","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46015506982803345","4","0.4666385054588318","8","64","0.8067286696320259","0.774491856493102","0.7656269188259855","0.852493761323625","0.7766768336296082","0.46015506982803345","0.767890453338623","0.8527988791465759"
"silvery-sweep-34","finished","-","jacobh0830","","2021-07-16T08:41:20.000Z","1657","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4586799442768097","4","0.46615588665008545","256","64","0.8081835686777922","0.7743974937248759","0.761574984123144","0.8608689707038595","0.7759146094322205","0.4586799442768097","0.7757624387741089","0.8350034356117249"
"fast-sweep-11","finished","-","jacobh0830","","2021-07-15T22:45:17.000Z","1588","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4615594744682312","4","0.4677363336086273","16","128","0.8073730939972978","0.7739822975446807","0.7624168413378292","0.8579632858168393","0.7709603905677795","0.4615594744682312","0.7729032039642334","0.8279198408126831"
"deep-sweep-26","finished","-","jacobh0830","","2021-07-16T05:16:39.000Z","1502","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4655111730098725","4","0.4682350158691406","128","16","0.8072978620800514","0.7737558269009379","0.7619322147040083","0.858407684681913","0.7744855284690857","0.4655111730098725","0.7759315967559814","0.8310297131538391"
"vital-sweep-1","finished","-","jacobh0830","","2021-07-15T18:28:04.000Z","1629","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46354734897613525","4","0.4727685749530792","8","8","0.8032100832061445","0.7736992092400022","0.7724431818181818","0.8365295867090555","0.7739138603210449","0.46354734897613525","0.7613653540611267","0.8593642115592957"
"glamorous-sweep-8","finished","-","jacobh0830","","2021-07-15T21:27:28.000Z","1478","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46064236760139465","4","0.4681684374809265","16","16","0.8015024654995534","0.7736048464717762","0.7767230043937013","0.8279150856322428","0.7763910293579102","0.46064236760139465","0.7746208906173706","0.8384588956832886"
"serene-sweep-13","finished","-","jacobh0830","","2021-07-15T23:39:49.000Z","1600","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.47282060980796814","4","0.4724112153053284","32","8","0.8022284122562675","0.7735482288108403","0.7745878159017124","0.8319146754179059","0.7728658318519592","0.47282060980796814","0.7622495889663696","0.8546993732452393"
"young-sweep-14","finished","-","jacobh0830","","2021-07-16T00:06:30.000Z","1575","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4592112600803375","4","0.4677213430404663","32","16","0.8005847564622234","0.7734538660426142","0.7787221665643279","0.8237103886780843","0.7746760845184326","0.4592112600803375","0.7632672190666199","0.8572909235954285"
"soft-sweep-2","finished","-","jacobh0830","","2021-07-15T18:55:14.000Z","1556","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46111688017845154","4","0.468711793422699","8","16","0.8044816467446178","0.7734161209353237","0.7682020340248188","0.8443578436399686","0.7762004733085632","0.46111688017845154","0.7667132019996643","0.8540083169937134"
"breezy-sweep-20","finished","-","jacobh0830","","2021-07-16T02:41:58.000Z","1498","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46130990982055664","4","0.4671962261199951","64","16","0.8034560062836478","0.7733217581670977","0.7706070688681022","0.83923016442758","0.7743902206420898","0.46130990982055664","0.767020583152771","0.8486523628234863"
"ethereal-sweep-32","finished","-","jacobh0830","","2021-07-16T07:50:33.000Z","1519","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46750274300575256","4","0.468405544757843","256","16","0.801478718663872","0.7729820522014834","0.7747925973197192","0.830068710901446","0.7778201103210449","0.46750274300575256","0.7749840617179871","0.8413959741592407"
"polar-sweep-31","finished","-","jacobh0830","","2021-07-16T07:25:15.000Z","1517","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4738735556602478","4","0.47068876028060913","256","8","0.8006889356275773","0.772868816879612","0.7765499518149694","0.8263767818685263","0.7732469439506531","0.4738735556602478","0.7590453028678894","0.8626468777656555"
"deft-sweep-19","finished","-","jacobh0830","","2021-07-16T02:17:14.000Z","1483","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46685361862182617","4","0.4729965627193451","64","8","0.8021646441456215","0.7723215128239002","0.7708891480442526","0.8360851878439818","0.7753430008888245","0.46685361862182617","0.7600849270820618","0.8659294843673706"
"still-sweep-25","finished","-","jacobh0830","","2021-07-16T04:51:36.000Z","1502","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","3","0.4707311391830444","4","0.47170472145080566","128","8","0.8070007039098995","0.7723215128239002","0.7584423394978199","0.8622021672990804","0.7694360017776489","0.47214275598526","0.7861998677253723","0.7992398142814636"
"generous-sweep-7","finished","-","jacobh0830","","2021-07-15T21:02:47.000Z","1480","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.462211012840271","4","0.4714953899383545","16","8","0.7940407295550794","0.7696227376526318","0.7839485607675906","0.8043961303114211","0.7755335569381714","0.462211012840271","0.7682926654815674","0.848997950553894"
